POSname,NEGname,CommonName,Trtmt,Day,alpha-ketoglutaric acid,salicylic acid,adenine,uridine,nicotinic acid,phenylalanine,proline,valine,glucose,alpha-alanine,shikimic acid,succinic acid,fumaric acid,glutamate,rhamnose,fructose,serine,malonic acid,cytidine,lactic acid,glycolic acid,maltose/cellobiose,mannitol,ribose,Trisaccharide1,vanillin,L-Citrulline,sucrose,L-tyrosine,Uracil,N-acetyl-D-glucosamine,inosine,alpha-ketoglutaric acid,leucine,isoleucine,trehalose,Tetrasaccharide1,Trisaccharide2,Trisaccharide3,Trisaccharide4,Tetrasaccharide2,Urea,alpha-alanine,serine,proline,aminovaleric acid,valine,leucine,isoleucine,asparagine,aspartate,adenine,lysine,glutamate,guanine,phenylalanine,arginine,L-Citrulline,L-tyrosine,Calcium pantothenate(pantothenic acid),N-acetyl-D-glucosamine,biotin,uridine,inosine,Cholinesulfate,Betaine,Acetylcarnitine,Carnitine_2,deoxyadenosine
45S_POS.mzML,45S_NEG.mzML,Root_3.5day,X,3.5,182261.68,10501057.11,3794117.08,13634050.2,511267.8,1441114.31,403161.53,2074235.75,1878253.11,1031514.41,305300.23,9900167.23,1109538.26,17173906.55,230733.11,3064555.79,164318.21,292714.85,193099.34,924571.68,129571.99,68802842.58,2712499.83,213629.67,693589.31,10817646.1,645194.32,69529113.04,543561.42,22733342.31,836072.42,701016.82,182261.68,8080568.17,2959395.73,68597064.77,533488.77,3079501.18,3504633.76,2949678.12,552826.45,96709.6,2805763.17,671028.61,4940952.21,2391885.5,6567044.48,22588943.99,8811870.12,540202.23,626942.95,6504792.45,58068.43,70922100.1,1862414.4,6915177.77,2014005.24,11153642.84,2083530.44,180549.21,243817.48,58601.21,359448.74,564906.97,86602921.27,278275357,10630182.87,104118937.1,41238984.2
5S_POS.mzML,5S_NEG.mzML,Root_3.5day,X,3.5,213847.47,7002010.7,4292421.15,18704906.52,391162.54,1705670.48,549627.56,2126399.93,3210491.06,1003359.45,384818.91,21089634.54,4285929.16,16581816.78,344613.65,5825747.54,216780.46,405188.26,264976.74,1437582.3,144885.51,65855040.9,3143175.39,349311.62,896059.77,12152442.35,405550.25,67143629.02,755265.14,15920192.53,899136.38,920404.67,213847.47,7966875.96,2885462.65,65657652.88,787121.47,3777522.26,4590311.23,4164131.45,964327.22,98278.64,3026599.43,932155,8537842.8,2391648.1,7677823.34,27888951.37,8217424.68,1066547.5,1481120.47,6753016.73,123455.58,77983966.5,1820217.45,9287489.68,5243555.18,6588638.92,3458992.85,240788.07,276899.24,135563.86,600049.22,828528.18,75008557.97,273236369.6,14222787.92,112744623.5,45975273.72
27S_POS.mzML,27S_NEG.mzML,Root_5.5day,X,5.5,186993.26,5338632.59,2870794.26,8046637.36,580523.57,837511.27,298609.58,1193952.77,1736592.1,627182.88,190213.59,5816338.26,2233281.45,7624856.38,221660.2,2837671.89,78999.47,201006.82,158714.09,2038866.85,94779.38,27230364.75,1821953.67,144320.59,245892.11,12829623.73,350477.32,28153284.08,338174.68,13815731.84,720781.95,384369.37,186993.26,5035927.02,1899415.4,27159212.51,162977.02,1142397,1411719.95,1191607,163099.92,91265.86,1867064.27,333960.68,3521613.96,1695137.4,3849106.64,13547572.37,5592996.83,216567.01,298818.97,4845767.91,32974.48,35234958.45,969362.92,4161344.71,680083.28,5066243.1,1351787.15,161617.63,189463.08,25547.63,176372.75,293381.1,59325698.68,230418392,7699722.8,62006958.56,37201376.02
47S_POS.mzML,47S_NEG.mzML,Root_5.5day,X,5.5,341482.6,11868102.8,3190811.2,13717965,607925.23,1549542.28,379638.82,1776831.67,1506151.02,942343.58,263280.45,17675307.85,4545460.73,26319522.02,283799.39,2700622.21,197067.76,333003.39,174877.21,929114.42,172446.57,59636958.67,2320161.49,176072.57,637719.49,9531367.86,666429.5,59784519.14,613078.16,20609877.6,750548.02,865279.61,341482.6,8079636.87,2904820.3,59339009.24,568868.12,2997678.96,3357697.44,3172299.84,557007.45,140092.99,2793650.17,791552.26,4904700.29,2152133.7,6291298.59,23369406.36,8656396.16,509503.39,909083.67,5961158,75317.38,107854131,2051763.36,7481666.06,2364453.86,9323460.96,2623874.99,182820.34,255474.54,49849.28,314101.69,686601.73,73846521.66,264219908.5,6769446.79,115420249.7,34763538.13
7S_POS.mzML,7S_NEG.mzML,Root_5.5day,X,5.5,329303.28,5249493.15,3633516.77,14500656.95,682318.21,1528025.45,442153.89,1920073.5,2143220.14,1030148.39,328597.58,19256231.13,6437455.15,25041457.29,353247.98,3944253.59,169140.05,366789.33,233191.95,1069276.07,161460.09,71202172.6,3180985.69,230825.27,848685.62,14869057.83,549455.02,72459706.05,677399.47,18345088.6,960248.47,784852.98,329303.28,8059620.9,2921148.15,71103389.97,694842.78,3652588.71,4207353.58,3720981.78,716625.37,90468.68,2934585.95,732400,5670667.64,2385370.2,6437785.59,23593576.67,9124986.25,517275.93,838368.41,6022062.59,57746.23,102358321.4,1652376.77,7679357.38,1895350.09,8570797.6,2693640.12,212922.01,299120.83,83383.8,374054.34,603260.36,78639050.5,254735354.2,11365814.11,91810384.07,40358569.18
61S_POS.mzML,61S_NEG.mzML,Root_7.5day,X,7.5,307450.31,9007316.04,3884936.7,11348371.57,708984.31,1148902.44,364165.9,1436132.67,1739989.28,938039.61,316970.32,9594442.5,2133651.95,22230380.32,248806.59,2856130.38,151530.71,332963.14,167226.23,679935.19,198499.06,47765841.91,5034378.65,182136.49,394781.48,5892413.27,847126.41,47996055.64,437290.63,18150798.12,824995.94,604995.53,307450.31,6333232.66,2292029.37,47582400.73,320063.65,1873740.78,2144038.5,1829901.01,324468.46,105041.29,2393694.53,584745.04,4168563.55,1840898.4,4696062.27,17407120.14,6707335.69,580283.95,770771.9,6577430.39,44067.22,85460330.4,1514548.24,5389468.31,1609106.21,9090606.28,1581064.76,171109.95,216200.45,38250.75,294389.63,443567.97,85943993.14,265592484.2,11410988.62,95883658.11,43068572.82
63S_POS.mzML,63S_NEG.mzML,Root_7.5day,X,7.5,117029.42,1672451.8,533573.58,855059.78,250033.13,123692.72,38565.19,234487.65,1088401.87,106850.02,312361.91,2032975.4,1871248.54,1321903.87,3252.52,2833441.13,109408.46,523200.15,34488.81,2772044.13,202045.93,184835.58,85730.25,16479.51,3804.1,5937451.09,3912.59,1128926.14,68637.93,416545.05,630.5,49097.39,117029.42,738201.18,344241.33,175263.48,16212.89,31071.82,663530.12,952428.9,697985.78,98292.34,2652809.81,848880.9,6024136.92,2080728.8,6495023.68,23652640.05,8310807.55,686606.4,1105823.09,5579754.33,77786.2,111024945.9,1233783.04,6918971.81,2341858.41,15145583.9,1968358.99,211000.53,364931.41,53367.45,261590.3,423930.43,81461955.74,302311158,13155892.84,145667127.6,29341837.59
65S_POS.mzML,65S_NEG.mzML,Root_7.5day,X,7.5,919415.51,6987436.68,2966401.36,12204904.58,1411880.03,1907802.84,595367.11,2562510.7,3597440.03,1402924.54,422895.01,30301965.39,16435169,39296922.18,286049.68,8158816.17,311634.55,3053242.49,141984.89,3222210.89,688819.89,77451963.14,9418730.29,297154.99,1744492.89,4997945.66,856578.68,81937212.14,873392.71,17664148.62,615844.85,730402.39,919415.51,9250757.92,3090732.07,77233210.38,1141643.11,5450448.94,7488587.24,6488046.28,1336699.07,71273.6,3053212.57,1147159.84,5227753.61,2571408.6,6315532.2,21279999.36,8140565.1,908675.38,1731969.27,5236468.4,84230.14,128248087.8,1254156.94,7083609.57,2167217.35,15920896.88,2425044.85,266538.23,303442.76,51178.07,328726.16,560219.11,88320807.04,274580496.5,13900571.23,97672805.8,29358948.82
17S_POS.mzML,17S_NEG.mzML,Bulk_N_soil,N,0,134604.61,1069189.44,3445681.61,9548047.15,265479.69,925714.33,329211.08,1259452.88,1940839.84,755112.52,276894.51,731727.51,119672.41,10328438.88,208382.55,2850146.02,154284.63,215116.41,148119.85,620627.04,112162.26,69657709.75,3085828.36,210290.21,819699.31,17043512.34,762672.29,69557000.63,384827.84,18231155.93,628487.61,351390.94,134604.61,4832469.9,1736395.39,69425040.7,718731.01,3576347.72,3916921.28,3163679.38,692600.9,159902.9,2207515.4,639800.13,4693459.92,2222450.9,4680509.46,15398860.53,5792295.15,561002.73,373580.42,5568374.09,100930.99,46015151.2,1363464.52,4933777.34,4283489.73,13008691.91,1541182.72,110992.94,202932.3,28266.01,295734.68,329284.03,96446148.8,306055556.7,7961099.2,115250213.7,29570339.16
39S_POS.mzML,39S_NEG.mzML,Bulk_N_soil,N,0,80800.51,606466.89,3096976.14,9153266.77,211087.85,722107.4,241747.87,950351.34,1849433.18,591654.46,239994.01,291223.72,73748.22,5610169.58,197941.48,2889416.27,145763.03,108132.03,125398.95,515305.77,89955.08,57176637.29,3403806.09,196925.75,776462.99,13463140.7,465095.74,57080400.64,321734.47,14912795.27,602740.05,274168.5,80800.51,3809196.36,1425448.91,56989808.23,590805.72,3158930.06,3434170.88,2741537.33,563911.48,112402.29,2080160.19,774198.21,3571702.82,2438628.7,3714753.77,13122272.76,3725500.61,619542.98,187232.7,4753377.66,269643.14,35397622.2,1392962.05,4460099.63,12086278.13,10542049.72,1571577.19,118887.41,311486.97,33620.56,233036.54,312318.47,102864565.8,254199545.9,8276971.98,103897444.4,37082943.41
59S_POS.mzML,59S_NEG.mzML,Bulk_N_soil,N,0,82380.2,732525.77,2988256.3,8962273.44,244701.91,710033.78,234888.5,991921.04,2117307.04,589484.25,224699.75,516019.2,107438.45,3777623.94,187555.78,3095400.66,106310.73,92583.82,148146.35,576269.75,83099.08,53293917.88,1306218.26,153672.26,606780.02,6008709.55,315205.1,53238887.93,283002.66,13545457.28,639068.02,320053.4,82380.2,4229039.35,1567252.72,53040590.45,488978.11,2590916.43,2850606.19,2312272.6,469613.43,85046.14,1857538.82,516839.32,3163991.52,1756568.4,3751311.61,12934658.34,5192746.46,307682.23,174795.37,5921007.69,79294.77,20317219.56,1133431.29,4002154.11,3163345.71,4592274.32,1096754.83,110152.23,210648.83,31554.58,297550.45,314923.5,76123030.6,276714205.2,11373306.8,67583912.09,36327062.96
11S_POS.mzML,11S_NEG.mzML,Root_N_1day,N,1,100220.19,902154.03,3437886.7,13284873.01,267338.27,996146.15,299055.46,1578680.35,3305572.46,791099.66,374306.19,1581367.44,299164.27,7925476.29,273643.22,5006067.22,172084.87,181150.57,132864.49,980430.4,116539.77,61112503.92,3430077.22,301539.93,835182.73,12723152.68,341384.41,62158695.84,460700.31,13868528.01,737960.36,418819.45,100220.19,5258775.15,1959848.05,61002022.91,680848.31,3531813,4256679.26,3585429.84,1019099.34,96016.88,2231078.6,721520.37,3894784.31,2135094.7,4967676.05,15213172.64,4293702.4,936839.53,420759.35,5096789.05,110854.55,38732542.7,964237.75,4795282.12,4389212.89,6720501.76,1826980.04,140851.94,259885.14,31568.9,395338.81,357311.39,83776415.31,275781970.7,9898407.36,84465719.64,29445883.91
31S_POS.mzML,31S_NEG.mzML,Root_N_1day,N,1,113316.77,1100874.9,3569814.98,12514483.28,204929.56,1144140.06,301059.55,1846630.86,2207872.77,936462.5,295675.32,1807025.69,303134.03,13061242.15,202058.71,4084998.35,251738.4,215616.19,167897.73,754528.12,162753.73,63250553.71,2054695.5,302806.41,1067568.4,13767667.5,535369.96,66225702.81,510216.67,16910600.06,857770.35,385952.45,113316.77,4861177.52,1842832.3,63035379.5,677512.04,3852717.82,4537448.06,3707782.81,899432.4,82862.62,2668330.69,987686.95,3813958.71,2017358.7,5797631.54,13599926.75,5587805.73,1584564.56,576542.51,4770055.87,264234.02,54851269.7,1032135.51,5885789.42,12135751.66,8177120.73,1908202.37,142960.52,274451.44,37304.76,446298.28,338763.62,74505992.44,280470482.2,10844707.93,72191561.17,33947567.66
51S_POS.mzML,51S_NEG.mzML,Root_N_1day,N,1,152610.88,1219868.18,3366003.73,13479430.15,304398.73,1123896.69,330355.74,1446384.46,2641161.99,879116.12,285949.08,2148411.26,263924.27,15216140.2,268753.53,3757869.28,205321.97,215420.83,149041.51,727833.33,159315.05,70556074.34,2838530.07,264278.48,793751.05,11480467.97,499988.16,71017090.85,471685.98,18084516.22,801238.4,494848.62,152610.88,6204682.59,2133903.7,70226473.44,691028.29,3568672.91,3951045.43,3284979.82,675859.2,128934.38,2434417.21,817205.57,3979632.16,2088413.3,4631980.11,16309698.53,6013821.33,1131590.3,675154.58,5620973.02,95844.08,68232734.1,1513586.56,5263973.5,4691889.38,7453113.8,1871987.17,129983.4,243986.52,35153.16,396414.48,408615.21,88944544.81,273625537.8,13114983.23,101011433.7,34498740.78
13S_POS.mzML,13S_NEG.mzML,Root_N_2day,N,2,116243.07,1499340.83,3695176.7,12740316.94,281569.68,1015085.99,317956.79,1355976.46,2494484.37,724644.92,204382,2358241.22,228074.55,9795746.69,253451.81,3523249.32,144885.02,152168,162673.1,1210580.37,97106.06,63069407.27,1930027.65,223819.09,904024.65,19691085.66,411944.91,63783513.19,469938.59,15130387.17,739094.06,495774.97,116243.07,5336579.35,1983000.97,62850132.19,715927.81,3588718.41,3973454.15,3152509.16,685870.07,90082.22,1946890.63,629609.15,3642045.52,2096721.1,3942128.24,14950186.11,4190416,775334.34,518239.71,5463326.99,128498.96,45027165.9,1089205.37,4583864.56,4803029.96,7362440.64,1746153.42,131875.51,243073.39,39491.16,354109.66,421167.77,74838345.42,272637662.9,8419410.59,81539400.35,32321446.6
33S_POS.mzML,33S_NEG.mzML,Root_N_2day,N,2,100296.2,1478716.72,3625606.25,12187954.99,196056.92,956039.07,267431.41,1391534.13,1804689.27,740768.17,302736.76,921692.81,148842.22,11097096.14,219616.97,2870742.51,204356.01,183014.38,170583.47,455967.77,113933.73,65037648.84,2632037.2,225072.2,1046552.71,11557915.33,548756.52,65838018.23,427477.45,17072023.02,657445.41,409120.78,100296.2,4485863.12,1676967.56,64919976.53,739220.65,3937679.72,4310077.28,3370195.59,710627.21,119135.63,2174733.74,792118.07,4087405.26,2154611.3,5021278.83,14579193.67,5044043.85,1336559.28,740724.51,5259388.55,209883.85,48314897.2,1238863.6,4893783.02,8960342.06,5112177.92,1702072.97,134689.93,234002.23,34197.48,413815.9,370599.61,75008438.86,283741276.7,11020313.96,99020396.38,34102856.43
53S_POS.mzML,53S_NEG.mzML,Root_N_2day,N,2,192353.58,1434984.41,2944353.25,12571431.05,575516.69,1548606.64,465771.43,2213218.06,4648526.67,1122253.42,423673.65,1719708.22,220031.29,12914817.23,184096.09,6612419.87,207099.51,469889.17,160710.44,2130944.97,296778.44,56325042.76,3060196.81,269264.66,852211.06,10064859.35,401468.46,57788961.42,613807.2,16283240.08,535422.47,517818.03,192353.58,7948004.96,1691879.42,56047884.4,692176.32,3621619.73,4146383.98,3413431.32,682231.4,87570.16,2740828.52,1005939.43,6442638.42,2289159.8,7001599.91,25485979.11,8693120.92,923753.38,676303.73,6301424.42,164956,52580875.4,1561264.66,7165222.03,5305197.55,10200573.84,2251387.34,211211.42,354942.35,94316.27,453511.82,516084.64,83559242.39,289125127.2,14845261.87,114915620.4,41489495.9
19S_POS.mzML,19S_NEG.mzML,Root_N_3.5day,N,3.5,224588.69,2500077.66,3662976.43,12597786.84,363922.16,1121831.26,384199.6,1582838.27,2813323.37,888845.64,365427.02,12033204.19,1642450.33,19036796.69,272149.57,4860302.32,169657.88,312296.83,184718.14,1320262.99,192177.89,64994261.9,1789176.97,265433.55,740130.06,12293304.02,434966.1,65687334.05,511232.44,14657165.85,1149007.63,618954.21,224588.69,5796984.83,2035546.65,64790569.88,674545.49,3189274.76,3733233.96,3170526.38,734983.17,78511.17,2550898.42,746679.8,4906770.2,1912785.8,5427005.92,17995427.18,6897730.09,936595.81,817004.43,5641535.42,67534.12,81625648.7,1176375.74,5910764.97,2084474.1,6797942.57,2548651.5,172717.06,283853.47,46505.27,392659.22,492831.99,74810409.46,239568879.7,8667382.54,85276569.45,31876818.33
35S_POS.mzML,35S_NEG.mzML,Root_N_3.5day,N,3.5,137459.96,9601684.16,4376089.76,20208772.45,322613.1,1743435.75,818993.75,2219599.19,2780730.56,1165939.11,324706.87,17966019.89,4792221.18,10918163.77,276273.82,5401643.72,263715.5,393717.75,279201.85,1339984.5,134358.61,60061229,2514318.59,344159.69,1122865.02,14823690.51,388125.9,62090079.93,751445.09,19279416.6,796334.56,838076.36,137459.96,8019541.56,2936097.28,59938793.09,768368.22,3984061.67,4943390.33,4144591.43,871371.17,112706,3226389.11,962368.84,9832554.57,2059569.1,6149861.9,23244749.28,6075270.49,1514471.48,1399681.83,6207396.54,187759.39,54236626.7,1305460.98,8024121.46,5609726.73,7701265.11,2884533.67,279784.33,241629.26,92136.82,586091.99,716791.62,69860992.31,236884759.5,9290646.04,73743286.88,41780035.41
55S_POS.mzML,55S_NEG.mzML,Root_N_3.5day,N,3.5,130946.01,5397549.9,2890483.7,9244614.18,520820.63,1107719.74,617780.7,1932414.35,2664776.6,914996.38,247305.75,4491109.79,1147674.2,6885626.05,128429.9,4307428.25,162726.83,376396.43,146833.76,1975135.65,155913.8,52688420.67,1504423.73,171956.44,685814.07,9437140.33,445071.79,53995161.99,536375.08,15307257.17,312110.2,464199.5,130946.01,5952970.52,1921517.61,52567376.9,546006.16,2755022.68,3352686.03,2752054.63,561877.99,90401.36,2498535.43,675623.54,7561673.79,2405732,5728546.31,17591972.39,6956553.29,1055041.88,875751.02,6191193.91,94921.45,29885461.96,1365848.46,5679682.6,4247774.96,7544697.35,1792996.74,200143.01,212432.85,61779.59,347204.3,521423.12,78958691.43,279051521.1,9735389.3,82609319.34,40194001.04
15S_POS.mzML,15S_NEG.mzML,Root_N_5.5day,N,5.5,273067.51,2007066.86,3298189.05,14637767.37,577825.57,1322750.7,483004.16,2054521.1,2110398.38,1030666.25,280981.73,22360237.86,6017750.56,22414208.87,283292.2,3856059.71,172032.33,383454.06,215902.43,933302.49,159341.9,61819299.72,1975975.32,251817.29,825094.01,12385649.05,585800.03,62941189.48,654478.2,19425974.47,896262.82,811012.66,273067.51,7233041.97,2762618.43,61639669.86,641378.39,3204060.88,3716280.57,3211910.71,699503.88,118749.83,2817154.98,705765.7,5715964.99,2425337.1,6110553.61,20767543.86,8240971.17,848146.67,1067793.83,5101720.04,58875.85,93240031.5,1390901.75,6609050.57,1932653.27,10709902.88,2292646.34,205643.83,233653,53871.62,432884.69,599308.2,79596071.46,251741137.2,7023425.6,101739452.2,32517443.94
